startup_name;num_founders;funding_amount;funding_stage;industry
Nova Credit;3;$45000000;Series C;FinTech
Attentive;NaN;$470000000;Series E;SaaS
Manychat;1;$125000;Seed;Marketing
Knock;3;$220000000;NaN;FinTech
Snapdocs;1;$150000000;Series D;Software
Benchling;2;NaN;Series F;BioTech
Sendbird;4;$100000000;Series C;SaaS
Grammarly ;3;$20000000;NaN;SaaS
Rippling;2;$500000000;Series E;Software
Aurora Solar;1;NaN;Series D;SaaS
Athletic;2;$550000000;NaN;Digital Media
Astranis;2;$250000000;Series C;Internet
Gusto;2;$140000000;Series C;SaaS
Karat;2;$28000000;Series B;Software
Small Door Veterinary;1;$40000000;Series B;Healtcare
Relativity Space;2;$650000000;Series E;Aerospace
OneSignal;2;$50000000;Series C;Mobile
Tulip Interface;2;$100000000;Series C;Software
Wonolo;2;NaN;Series D;Marketing
Clever;3;$30000000;Series B;Education
PerformLine;1;NaN;Series A;Internet
GlossGenius;2;$25000000;Series B;Mobile
Better Health;2;$14000000;Series A;Healtcare
Enigma Technologies;NaN;$95000000;NaN;Software
Domino Data Lab;1;$100000000;Series F;Software
Ambient.ai;2;$35000000;Series B;AI
Upwave;1;$14000000;Series B;Advertising
Vanta;1;$40000000;Series B;SaaS
Aircall;4;$65000000;Series C;SaaS
Mashgin;2;$62500000;Series B;AI
Netskope;2;$401000000;Series Convertible Note;Software
Panorama Education;1;$550001;NaN;SaaS
SeatGeek;2;$238000000;Series E;Search
